-1,Unknown,\N,-,N/A,\N,\N
1,Private flight,\N,-,N/A,"",""
2,135 Airways,\N,"",GNL,GENERAL,United States
3,1Time Airline,\N,1T,RNX,NEXTIME,South Africa
4,2 Sqn No 1 Elementary Flying Training School,\N,"",WYT,"",United Kingdom
5,213 Flight Unit,\N,"",TFU,"",Russia
6,223 Flight Unit State Airline,\N,"",CHD,CHKALOVSK-AVIA,Russia
7,224th Flight Unit,\N,"",TTF,CARGO UNIT,Russia
8,247 Jet Ltd,\N,"",TWF,CLOUD RUNNER,United Kingdom
9,3D Aviation,\N,"",SEC,SECUREX,United States
10,40-Mile Air,\N,Q5,MLA,MILE-AIR,United States
11,4D Air,\N,"",QRT,QUARTET,Thailand
12,611897 Alberta Limited,\N,"",THD,DONUT,Canada
13,Ansett Australia,\N,AN,AAA,ANSETT,Australia
14,Abacus International,\N,1B,"","",Singapore
15,Abelag Aviation,\N,W9,AAB,ABG,Belgium
16,Army Air Corps,\N,"",AAC,ARMYAIR,United Kingdom
17,Aero Aviation Centre Ltd.,\N,"",AAD,SUNRISE,Canada
18,Aero Servicios Ejecutivos Internacionales,\N,"",SII,ASEISA,Mexico
19,Aero Biniza,\N,"",BZS,BINIZA,Mexico
20,Aero Albatros,\N,"",ABM,ALBATROS ESPANA,Spain
21,Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France
22,Aloha Airlines,\N,AQ,AAH,ALOHA,United States
23,Alaska Island Air,\N,"",AAK,ALASKA ISLAND,United States
24,American Airlines,\N,AA,AAL,AMERICAN,United States
25,Aviation Management Corporation,\N,"",AAM,AM CORP,United States
26,Atlantis Airlines (USA),\N,"",AAO,ATLANTIS AIR,United States
27,Aerovista Airlines,\N,"",AAP,AEROVISTA GROUP,United Arab Emirates
28,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea
29,Askari Aviation,\N,4K,AAS,AL-AAS,Pakistan
30,Australia Asia Airlines,\N,"",AAU,AUSTASIA,Australia
31,Astro Air International,\N,"",AAV,ASTRO-PHIL,United States
32,Afriqiyah Airways,\N,8U,AAW,AFRIQIYAH,Libya
33,Afrinat International Airlines,\N,Q9,AFU,"",Gambia
34,Afric'air Express,\N,"",AAX,AFREX,Ivory Coast
35,Allegiant Air,\N,G4,AAY,ALLEGIANT,United States
36,Angus Aviation,\N,"",AAZ,ANGUS,Canada
37,Artem-Avia,\N,"",ABA,ARTEM-AVIA,Ukraine
38,African Business and Transportations,\N,"",ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo
39,Aban Air,\N,K5,ABE,ABAN,Iran
40,Aerial Oy,\N,"",ABF,SKYWINGS,Finland
41,Abakan-Avia,\N,"",ABG,ABAKAN-AVIA,Russia
42,ABSA - Aerolinhas Brasileiras,\N,M3,TUS,ABSA Cargo,Brazil
43,Abaet,\N,"",ABJ,Abaet,Brazil
44,Alberta Citylink,\N,"",ABK,ALBERTA CITYLINK,Canada
45,APSA Colombia,\N,"",ABO,AEROEXPRESO,Colombia
46,Aerovias Bueno,\N,"",ABU,AEROBUENO,Colombia
47,Aerocenter,\N,"",ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER
48,Antrak Air,\N,4,ABV,ANTRAK,Ghana
49,Airborne Express,\N,GB,ABX,ABEX,United States
50,ABX Air,\N,GB,ABX,ABEX,United States
51,ATA Brasil,\N,"",ABZ,ATA-BRAZIL,Brazil
52,Avcard Services,\N,"",ACC,"",United Kingdom
53,Academy Airlines,\N,"",ACD,ACADEMY,United States
54,Aero Comondu,\N,"",ACO,AERO COMONDU,Mexico
55,Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya
56,Air Cess,\N,"",ACS,"",Liberia
57,Air Aurora,\N,"",AAI,BOREALIS,United States
58,Air Cargo Transportation System,\N,"",ACU,AFRISPIRIT,Kenya
59,Air Charter Service,\N,"",ACV,"",United Kingdom
60,Aero Asia International,\N,E4,RSO,AERO ASIA,Pakistan
61,Air Charters,\N,"",ACX,PARAIR,Canada
62,Air Togo,\N,YT,TGA,AIR TOGO,Togo
63,Air Somalia,\N,"",RSM,AIR SOMALIA,Somali Republic
64,Atlas Cargo Lines,\N,"",ACY,ATLAS CARGOLINES,Morocco
65,Airservices Australia,\N,"",ADA,AUSCAL,Australia
66,Advance Leasing Company,\N,4G,"","",United States
67,Aztec Worldwide Airlines,\N,7A,"","",United States
68,Air Tindi,\N,8T,"","",Canadian Territories
69,Antonov Airlines,\N,"",ADB,ANTONOV BUREAU,Ukraine
70,Air Atlantic Dominicana,\N,"",ADC,ATLAN-DOMINICAN,Dominican Republic
71,Advanced Air Co.,\N,"",ADD,"",Japan
72,Ada Air,\N,ZY,ADE,ADA AIR,Albania
73,Aerea Flying Training Organization,\N,"",ADG,AEREA TRAINING,Spain
74,Audeli Air,\N,"",ADI,AUDELI,Spain
75,Abicar,\N,"",ADJ,ABICAR,Ivory Coast
76,ADC Airlines,\N,Z7,ADK,ADCO,Nigeria
77,Aero Dynamics,\N,"",ADL,COTSWOLD,United Kingdom
78,Aerolineas Dominicanas,\N,"",ADM,DOMINAIR,Dominican Republic
79,Aerodienst GmbH,\N,"",ADN,AERODIENST,Germany
80,Aerodiplomatic,\N,"",ADP,AERODIPLOMATIC,Mexico
81,Aerodyne,\N,"",ADY,AERODYNE,United States
82,Avion Taxi,\N,"",ADQ,AIR DATA,Canada
83,Adria Airways,\N,JP,ADR,ADRIA,Slovenia
84,Aviones de Sonora,\N,"",ADS,SONORAV,Mexico
85,Air Dorval,\N,"",ADT,AIR DORVAL,Canada
86,Airdeal Oy,\N,"",ADU,AIRDEAL,Finland
87,Advance Air Charters,\N,"",ADV,ADVANCE,Canada
88,Air Andaman,\N,"",ADW,AIR ANDAMAN,Thailand
89,Anderson Aviation,\N,"",ADX,ANDAX,United States
90,Air Europa,\N,UX,AEA,EUROPA,Spain
91,Air Southwest Ltd.,\N,"",ASW,AIRSOUTHWEST,Canada
92,Air Special,\N,"",ASX,AIRSPEC,Czech Republic
93,Aero Benin,\N,EM,AEB,AEROBEN,Benin
94,Aerocesar,\N,"",AEC,Aerovias Del Cesar,AEROCESAR
95,Aerotrans Airlines,\N,"",AED,"",Russia
96,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece
97,Aerofumigaciones Sam,\N,"",AEG,FUMIGACIONES SAM,Chile
98,Aeroexpreso Interamericano,\N,"",AEI,INTERAM,Colombia
