1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,"","",5282,"","",Pacific/Port_Moresby,airport
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,"","",20,"","",Pacific/Port_Moresby,airport
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,"","",5388,"","",Pacific/Port_Moresby,airport
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,"","",239,"","",Pacific/Port_Moresby,airport
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,"","",146,"","",Pacific/Port_Moresby,airport
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,"","",19,"","",Pacific/Port_Moresby,airport
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,"","",112,"","",America/Godthab,airport
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,"","",283,"","",America/Godthab,airport
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,"","",165,"","",America/Godthab,airport
10,Thule Air Base,Thule,Greenland,THU,BGTL,"","",251,"","",America/Thule,airport
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,"","",6,"","",Atlantic/Reykjavik,airport
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,"","",76,"","",Atlantic/Reykjavik,airport
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,"","",24,"","",Atlantic/Reykjavik,airport
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,"","",48,"","",Atlantic/Reykjavik,airport
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,"","",8,"","",Atlantic/Reykjavik,airport
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,"","",171,"","",Atlantic/Reykjavik,airport
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,"","",11,"","",Atlantic/Reykjavik,airport
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,"","",48,"","",Atlantic/Reykjavik,airport
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,"","",10,"","",Atlantic/Reykjavik,airport
